Date,Open,High,Low,Close,Adj Close,Volume
2015-10-05,313.924988,319.020996,311.492004,317.919006,308.001648,5859816
2015-10-06,320.444,321.912994,317.321991,320.307007,310.315155,4525863
2015-10-07,320.307007,320.39801,312.502014,314.614014,304.799774,3568619
2015-10-08,315.394012,317.414001,309.380005,313.604004,303.821228,4682348
2015-10-09,315.852997,320.35199,315.165009,319.158997,309.202972,5445838
2015-10-12,319.526001,323.290985,319.158997,320.903015,310.892548,2396460
2015-10-13,322.372009,322.923004,314.796997,317.184998,307.290497,2542329
2015-10-14,319.020996,321.5,313.924988,317.964996,308.046234,3400209
2015-10-15,319.526001,324.484009,315.852997,322.51001,312.449432,5412567
2015-10-16,318.791992,323.612,313.098999,321.040985,311.026245,4513441
2015-10-19,324.117004,335.731995,317.690002,333.94101,323.523865,4254242
2015-10-20,333.161011,336.971008,330.084991,332.243011,321.878845,2540369
2015-10-21,334.263,343.214996,334.125,341.102997,330.462463,4352989
2015-10-23,343.398987,344.040985,327.330994,329.717987,319.432617,4370279
2015-10-26,335.13501,335.36499,318.470001,323.381989,313.29422,7217918
2015-10-27,322.694,325.678009,319.618011,323.79599,313.695313,2802530
2015-10-28,323.473999,330.315002,322.281006,328.983002,318.720551,3736717
2015-10-29,327.330994,329.579987,320.444,326.321014,316.141571,4476899
2015-10-30,324.117004,331.371002,316.358002,320.48999,310.492432,3914972
2015-11-02,319.066986,322.923004,315.532013,321.5,311.470947,2804413
2015-11-03,322.326996,324.85199,317.597992,319.204987,309.247498,1640170
2015-11-04,320.444,321.638,315.118988,318.057007,308.135345,2367954
2015-11-05,315.256989,317.690002,306.763,309.013,299.373444,3403663
2015-11-06,305.752991,314.154999,291.153992,311.446014,301.730591,3310905
2015-11-09,306.71701,310.894989,294.506012,307.819,298.216705,3563846
2015-11-10,305.432007,308.231995,300.748993,304.514008,295.014801,2377263
2015-11-13,298.45401,308.507996,298.45401,306.579987,297.016357,2729138
2015-11-16,308.231995,311.537994,303.458008,308.278015,298.661407,2647965
2015-11-17,308.96701,310.02301,303.916992,307.131012,297.550232,2133021
2015-11-18,308.507996,314.154999,305.247986,306.626007,297.060944,2441160
2015-11-19,307.72699,313.098999,305.019012,311.766998,302.041565,1946468
2015-11-20,310.848999,316.174988,306.671997,313.420013,303.643005,2272992
2015-11-23,313.649994,317.872986,309.380005,311.261993,301.552307,2106819
2015-11-24,311.721985,317.414001,307.72699,313.604004,303.821228,2829135
2015-11-26,314.016998,317.368011,312.22699,314.154999,304.355072,7976914
2015-11-27,315.761993,316.541992,311.584015,314.200989,304.399597,1433142
2015-11-30,314.934998,315.852997,305.937012,306.993011,297.416504,6979656
2015-12-01,308.462006,308.462006,295.14801,296.34201,287.097778,8891435
2015-12-02,298.683014,298.912994,290.558014,296.480011,287.231445,6679353
2015-12-03,295.653015,299.785004,292.440002,293.403992,284.251404,4327290
2015-12-04,291.980988,296.113007,291.200012,295.010986,285.808258,2887375
2015-12-07,295.010986,297.48999,292.578003,293.908997,284.740601,2635728
2015-12-08,293.816986,294.230011,289.317993,291.842987,282.739105,4506006
2015-12-09,291.291992,291.522003,282.890991,285.415985,276.512543,5092795
2015-12-10,288.216003,288.721008,283.257996,287.067993,278.113068,2297905
2015-12-11,289.226013,289.226013,282.339996,284.221985,275.355835,2312537
2015-12-14,281.881012,285.553009,279.264008,281.100006,272.331207,3755785
2015-12-15,281.100006,284.63501,279.677002,283.901001,275.04483,2575123
2015-12-16,285.553009,295.608002,284.221985,294.138,284.962463,4502955
2015-12-17,294.734985,297.765015,293.863007,296.020996,286.786743,3926414
2015-12-18,295.928986,296.938995,291.980988,292.945007,283.806702,4460635
2015-12-21,293.312012,296.800995,291.062988,294.643005,285.451752,3244449
2015-12-22,294.734985,300.519989,294.001007,296.755005,287.497833,3636938
2015-12-23,299.325989,305.615997,297.673004,305.157013,295.637787,3906770
2015-12-24,305.065002,311.950989,301.759003,310.756989,301.063049,2805934
2015-12-28,309.656006,310.343994,302.998993,304.605988,295.103912,3275104
2015-12-29,305.661987,308.737,303.458008,307.819,298.216705,2737336
2015-12-30,311.261993,311.584015,304.881012,305.845001,296.304321,1694303
2015-12-31,306.671997,313.786987,305.247986,312.548004,302.798187,3215351
2016-01-01,312.13501,315.852997,310.02301,312.640015,302.887329,1361683
2016-01-04,310.343994,311.21701,294.734985,300.061005,290.700745,3433702
2016-01-05,300.243988,301.851013,294.734985,296.984985,287.720642,2307784
2016-01-06,299.234009,305.294006,293.496002,295.837006,286.608521,2629271
2016-01-07,294.643005,299.143005,290.695007,295.975006,286.742218,3077587
2016-01-08,297.765015,298.362,292.440002,297.35199,288.076202,1962437
2016-01-11,294.734985,297.48999,288.950989,294.872986,285.674561,2744270
2016-01-12,295.653015,298.821014,287.94101,289.592987,280.559296,3202276
2016-01-13,294.734985,296.15799,277.335999,283.350006,274.511017,4951126
2016-01-14,281.789001,286.471985,275.912994,283.488007,274.644714,3566324
2016-01-15,286.196014,286.196014,278.299988,281.053986,272.286621,3506854
2016-01-18,282.61499,283.441986,269.807007,275.683014,267.083221,4490387
2016-01-19,277.105988,286.838989,273.984009,284.911011,276.023346,3639447
2016-01-20,283.257996,288.170013,278.023987,284.268005,275.400391,5525963
2016-01-21,287.390015,287.756989,278.804993,283.993011,275.133942,3359069
2016-01-22,285.644989,285.737,267.695007,274.26001,265.70459,5795262
2016-01-25,275.31601,276.325989,268.613007,273.15799,264.636932,3415560
2016-01-27,273.15799,274.993988,267.924011,273.43399,264.904358,5540935
2016-01-28,270.220001,271.643005,264.756989,267.557007,259.210693,6950018
2016-01-29,265.721008,272.973999,259.201996,266.179993,257.876648,7237697
2016-02-01,268.291992,273.617004,267.373993,272.332001,263.836731,4343832
2016-02-02,272.332001,279.126007,271.505005,277.473999,268.818359,4720095
2016-02-03,276.096008,277.105988,271.919006,275.269989,266.683014,5136493
2016-02-04,278.942993,280.778992,276.923004,279.355988,270.641571,3348274
2016-02-05,277.381989,283.257996,277.335999,282.063995,273.265137,2598563
2016-02-08,283.119995,287.848999,280.595001,285.553009,276.645294,2702372
2016-02-09,283.71701,288.261993,281.881012,286.700989,277.757477,3087968
2016-02-10,285.553009,289.179993,283.257996,285.82901,276.912689,9992416
2016-02-11,280.044006,289.684998,279.539001,283.441986,274.600128,6400541
2016-02-12,286.931,302.998993,282.339996,297.994995,288.699158,3974784
2016-02-15,301.667999,302.907013,290.558014,292.807007,283.673004,5512095
2016-02-16,295.975006,298.31601,288.078003,289.502014,280.47113,2857313
2016-02-17,287.848999,295.286011,283.350006,293.403992,284.251404,3901339
2016-02-18,296.571991,296.662994,290.190002,294.919006,285.719147,2521694
2016-02-19,294.276001,301.117004,290.833008,299.372009,290.033264,5851931
2016-02-22,297.949005,307.497986,295.653015,302.173004,292.746826,3391490
2016-02-23,305.752991,305.752991,292.072998,295.010986,285.808258,5337388
2016-02-24,292.118011,298.912994,291.658997,297.444,288.165375,2476852
2016-02-25,298.362,298.821014,291.980988,296.15799,286.919434,9380841
2016-02-26,298.269989,298.269989,291.062988,291.934998,282.828217,6934403
2016-02-29,291.062988,295.975006,287.436005,289.684998,280.648376,3915119
2016-03-01,289.730988,295.928986,284.86499,294.459991,285.274445,4741508
2016-03-02,295.653015,300.933014,294.734985,299.64801,290.300629,3229068
2016-03-03,301.529999,307.544006,297.48999,306.121002,296.571686,3204831
2016-03-04,304.834991,309.105011,300.335999,302.309998,292.879547,2127948
2016-03-08,302.540009,306.671997,300.015015,304.376007,294.881134,2349565
2016-03-09,302.127014,308.369995,301.437988,307.221985,297.638336,3366959
2016-03-10,304.881012,310.987,303.916992,308.78299,299.150604,1803661
2016-03-11,307.589996,311.07901,306.671997,309.656006,299.99646,2962557
2016-03-14,307.72699,314.016998,304.652008,312.868988,303.109161,2584519
2016-03-15,312.181,316.312012,308.507996,314.842987,305.021606,2266895
2016-03-16,313.328003,316.588013,307.957001,310.803009,301.107605,4281526
2016-03-17,313.373993,322.923004,310.390015,312.868988,303.109161,7023818
2016-03-18,317.506012,319.756012,312.22699,316.128998,306.267456,3879075
2016-03-21,316.772003,325.953003,315.118988,324.713989,314.584717,2761566
2016-03-22,325.862,327.514008,316.450012,322.188995,312.138458,4343762
2016-03-23,323.199005,331.829987,323.199005,328.890991,318.631378,5022346
2016-03-28,329.533997,331.462006,318.470001,321.178986,311.159943,4545256
2016-03-29,318.608002,328.477997,317.735992,325.493988,315.340363,3998196
2016-03-30,325.953003,329.855988,322.372009,324.85199,314.718384,4151223
2016-03-31,324.575989,327.467987,318.195007,322.096985,312.049316,7780858
2016-04-01,321.54599,321.54599,305.019012,308.002991,298.394958,4433924
2016-04-04,308.095001,322.188995,308.095001,319.984985,310.003174,3371463
2016-04-05,318.148987,318.148987,302.127014,303.458008,293.99176,5192356
2016-04-06,306.166992,311.766998,304.421997,307.131012,297.550232,2981126
2016-04-07,308.600006,308.78299,302.309998,304.147003,294.659302,2371226
2016-04-08,304.789001,309.792999,298.959015,307.221985,297.638336,2276799
2016-04-11,313.511993,321.362,313.098999,319.756012,309.781372,4440884
2016-04-12,319.709991,323.65799,315.990997,321.45401,311.426361,3032647
