Date,Open,High,Low,Close,Adj Close,Volume
10/5/2015,90.565903,93.460197,90.0233,92.736603,91.64389,7330821
10/6/2015,93.3396,95.992699,92.374901,95.661003,94.533829,7887385
10/7/2015,94.3647,96.625801,94.3647,95.872101,94.742439,8877172
10/8/2015,95.902199,96.294197,93.490303,94.605797,93.491058,4649409
10/9/2015,94.485199,96.113297,94.063202,95.238998,94.116798,3637309
10/12/2015,95.269096,95.962502,94.1838,95.178703,94.057213,2026727
10/13/2015,94.967598,95.208801,91.4403,92.043198,90.958649,3823962
10/14/2015,92.043198,92.646202,90.565903,90.957901,89.886147,3060182
10/15/2015,91.651299,92.555702,91.3498,91.892502,90.809731,3269292
10/16/2015,91.048302,91.892502,88.937897,90.686501,89.617943,6449382
10/19/2015,91.108597,92.0131,88.998199,91.410103,90.333015,4437148
10/20/2015,91.379997,92.254303,90.113701,91.379997,90.303268,3938432
10/21/2015,91.199097,92.555702,90.5056,91.591003,90.511787,4485391
10/23/2015,89.661499,90.5961,83.209702,84.686996,83.689133,31437459
10/26/2015,85.169403,86.134102,83.873001,85.350304,84.34462,9920066
10/27/2015,84.777397,86.3452,84.2649,85.0186,84.016823,9056422
10/28/2015,85.0186,85.892899,84.656898,85.320099,84.314774,5850846
10/29/2015,85.320099,85.892899,84.415703,85.320099,84.314774,14281363
10/30/2015,85.561302,85.802498,84.144302,84.415703,83.421036,7619973
11/2/2015,85.0186,85.320099,83.692101,84.777397,83.778465,6564390
11/3/2015,85.320099,85.320099,83.6017,83.993599,83.003899,9032779
11/4/2015,84.325203,85.561302,83.903099,85.078903,84.076416,6516555
11/5/2015,84.717102,84.958298,83.209702,83.873001,82.884727,5825048
11/6/2015,83.5112,84.988503,82.606796,83.993599,83.003899,7522454
11/9/2015,81.461098,82.516296,79.501503,81.250099,80.292732,11859045
11/10/2015,81.219902,81.400803,76.486603,78.4161,77.492119,13024626
11/13/2015,79.199997,79.411003,77.8433,78.4161,77.492119,6654625
11/16/2015,78.386002,79.561798,78.0242,78.627197,77.700729,4257130
11/17/2015,79.109497,79.893402,77.813103,78.958801,78.028427,4877280
11/18/2015,78.928596,81.883202,78.928596,81.370697,80.411903,11139290
11/19/2015,82.003799,82.395699,79.411003,80.436096,79.488319,4964311
11/20/2015,80.375801,83.631798,79.622101,82.0942,81.126884,5722303
11/23/2015,81.9133,84.415703,81.159599,83.993599,83.003899,8096626
11/24/2015,83.752403,85.290001,82.546501,84.566399,83.569954,7748122
11/26/2015,84.415703,90.294601,82.245003,88.545998,87.502663,32684062
11/27/2015,87.430496,88.334999,86.073799,86.827499,85.804413,9245904
11/30/2015,86.767197,86.767197,84.475998,85.259804,84.255188,9450986
